beta,cost_beta1,cost_beta2,cost_beta3
-7.0,21.422440566614135,12.020659550427908,12.177516397083131
-6.938775510204081,21.356587015653908,12.020672455605077,12.155224225183844
-6.877551020408164,21.288380815955907,12.020685616452827,12.131682494302414
-6.816326530612245,21.21952600907963,12.020702917042765,12.107398562675435
-6.755102040816326,21.152405540193826,12.0207221798438,12.083179562805926
-6.6938775510204085,21.090296304048845,12.020745572224033,12.06022746066437
-6.63265306122449,21.037497471386807,12.020771823734592,12.040294156236403
-6.571428571428571,20.999493195552773,12.02080022884316,12.025832801039115
-6.510204081632653,20.98301572014243,12.020833326950559,12.020227651795205
-6.448979591836735,20.996055359571816,12.020872274196426,12.028024355643215
-6.387755102040816,21.04761091037505,12.020916967786782,12.055261322009745
-6.326530612244898,21.147163407409472,12.020969841612558,12.109808493316288
-6.26530612244898,21.301687898098976,12.02102645908017,12.20180418644722
-6.204081632653061,21.516247865480832,12.021092781362697,12.344145706259358
-6.142857142857143,21.79694776449957,12.021168136955877,12.533773317554308
-6.081632653061225,22.145008957005558,12.021256405949469,12.68845814577897
-6.020408163265306,22.551617884233796,12.021355307107177,12.823800825326655
-5.959183673469388,22.990475756295226,12.021467776188874,12.95097590799978
-5.8979591836734695,23.4124277622919,12.021595000873711,13.072514381377015
-5.836734693877551,23.768769135477825,12.021739884183646,13.189967779383167
-5.775510204081632,24.002677334957696,12.021903687358446,13.312031230366387
-5.714285714285714,24.04949136463297,12.022086154174927,13.454846594726506
-5.653061224489796,23.855431374042716,12.022291794715962,13.670208595023402
-5.591836734693878,23.394598688939862,12.022522724492621,13.991451298670722
-5.530612244897959,22.678269306206623,12.022778696650686,14.462800926788567
-5.469387755102041,21.754576275906224,12.023061498985285,15.146595413916558
-5.408163265306122,20.704137458580085,12.023369796421683,16.12936021002506
-5.346938775510204,19.627999163977734,12.023704932824003,17.528408716147844
-5.285714285714286,18.625574574835483,12.024070217591804,19.49806048785888
-5.224489795918368,17.779252703436995,12.024454855659641,22.23531715199558
-5.163265306122449,19.751330342694324,12.024858319825048,25.987048034101342
-5.1020408163265305,17.02741386877879,12.025273247714791,31.297427267657618
-5.040816326530612,14.880474234954352,12.025690418059167,29.26958645224951
-4.979591836734694,13.352490243705061,12.026093830244353,26.969363658007193
-4.918367346938775,12.433540599700175,12.026468598503797,24.938542386895705
-4.857142857142858,12.048349521839029,12.026792467849672,23.191765119817603
-4.795918367346939,12.091460771451679,12.027042833749686,21.72741410235619
-4.73469387755102,12.459260994739388,12.027189618038001,20.505037316101337
-4.673469387755102,13.073067714167475,12.02720606115014,19.47249820865704
-4.612244897959184,13.89018302057474,12.027068079613414,18.582356035807642
-4.551020408163265,14.795392083517424,12.026751254786184,17.801725252823417
-4.4897959183673475,15.8444184595487,12.026247971877035,17.112880037921386
-4.428571428571429,16.24060102614449,12.025560279886577,16.5370128737693
-4.36734693877551,16.306653774087263,12.024716837666919,16.217183480534437
-4.3061224489795915,16.469775335207096,12.023761060166265,16.22258596417535
-4.244897959183674,16.81956621691834,12.022767892951121,16.565370766701722
-4.183673469387755,17.261783908775993,12.021827586600658,17.298587181358723
-4.122448979591837,17.504161764019923,12.021032811855115,18.477607941356414
-4.061224489795919,17.475301926704468,12.020475109188936,20.15845782939743
-4.0,17.449338566780735,12.020225344486608,24.023535357091703
