Time,X1,X2,X3
0.00,3.97,2.03,1.03
0.00,4.29,2.10,0.93
0.00,3.74,2.09,0.99
0.00,3.59,1.96,1.05
0.00,4.12,2.00,0.91
5.00,0.81,1.93,2.38
5.00,0.71,1.81,2.78
5.00,0.83,1.83,2.65
5.00,0.78,1.75,2.65
5.00,0.79,1.87,2.78
10.00,1.91,0.44,3.30
10.00,1.78,0.44,3.19
10.00,1.91,0.38,3.49
10.00,2.16,0.44,3.38
10.00,1.91,0.42,3.40
15.00,4.65,0.44,2.07
15.00,4.27,0.48,1.93
15.00,4.46,0.45,2.06
15.00,4.86,0.47,1.98
15.00,3.99,0.50,1.82
20.00,2.77,1.39,1.34
20.00,2.74,1.37,1.48
20.00,2.87,1.73,1.46
20.00,2.62,1.47,1.39
20.00,2.59,1.39,1.35
25.00,1.26,1.16,2.17
25.00,1.21,1.26,2.16
25.00,1.21,1.33,2.21
25.00,1.31,1.36,2.25
25.00,1.15,1.23,2.17
30.00,1.63,0.55,2.38
30.00,1.48,0.53,2.49
30.00,1.51,0.53,2.32
30.00,1.64,0.59,2.56
30.00,1.46,0.53,2.66
35.00,2.37,0.38,1.69
35.00,2.36,0.41,2.02
35.00,2.34,0.39,1.77
35.00,2.36,0.38,1.97
35.00,2.66,0.39,1.76
40.00,2.32,0.47,1.40
40.00,2.60,0.50,1.38
40.00,2.43,0.50,1.46
40.00,2.48,0.53,1.49
40.00,2.35,0.52,1.53
45.00,1.52,0.62,1.20
45.00,1.58,0.67,1.17
45.00,1.63,0.70,1.17
45.00,1.63,0.70,1.13
45.00,1.56,0.66,1.21
50.00,0.99,0.58,1.15
50.00,0.98,0.54,1.25
50.00,0.89,0.54,1.19
50.00,0.93,0.54,1.28
50.00,0.99,0.52,1.28
55.00,0.66,0.35,1.20
55.00,0.68,0.37,1.22
55.00,0.69,0.36,1.08
55.00,0.66,0.35,1.25
55.00,0.72,0.40,1.39
60.00,0.54,0.23,1.26
60.00,0.59,0.22,1.20
60.00,0.57,0.21,1.07
60.00,0.59,0.23,1.19
60.00,0.52,0.21,1.13
65.00,0.48,0.14,1.06
65.00,0.49,0.14,1.09
65.00,0.47,0.15,1.04
65.00,0.49,0.12,1.11
65.00,0.48,0.14,1.00
70.00,0.37,0.08,0.91
70.00,0.39,0.09,0.88
70.00,0.36,0.09,1.02
70.00,0.40,0.08,0.87
70.00,0.38,0.09,0.96
75.00,0.34,0.06,0.80
75.00,0.32,0.05,0.89
75.00,0.29,0.06,0.76
75.00,0.26,0.06,0.86
75.00,0.31,0.06,0.88
80.00,0.21,0.03,0.72
80.00,0.22,0.03,0.73
80.00,0.20,0.04,0.71
80.00,0.19,0.03,0.70
80.00,0.21,0.03,0.73
